IS_WORKDAY,O_DATA,O_HOUR,O_LINENO,O_MAXSTOP,O_ORDER,O_TERMINALNO,O_UP,O_WEATHER,O_WEEKDAY,after_stop,after_time,after_up,before_stop,before_time,before_up,predHour,predRelative,pred_end_stop_ID,pred_start_stop_ID,time_delta
True,10-25,11,34,26,152,906399,1,0,3,12,25206.0,0,7,21522.0,1,11:00:00,21600.0,25,8,78.0
True,10-25,9,856,42,155,906884,1,0,3,9,18009.0,0,29,14282.0,1,9:00:00,14400.0,40,29,118.0
True,10-25,19,842,29,161,900983,1,0,3,12,54003.0,0,13,50335.0,1,19:00:00,50400.0,25,13,65.0
True,10-25,9,641,44,169,902645,0,0,3,38,18007.0,0,12,14356.0,0,9:00:00,14400.0,37,12,44.0
True,10-25,17,640,41,172,903185,1,0,3,13,46805.0,0,31,43141.0,1,17:00:00,43200.0,40,31,59.0
True,10-25,21,859,60,174,900475,1,0,3,31,43141.0,1,35,57569.0,1,21:00:00,57600.0,59,35,31.0
True,10-25,21,800,51,175,922546,1,0,3,35,57569.0,1,42,57471.0,1,21:00:00,57600.0,50,43,129.0
True,10-25,17,185,31,182,905681,0,0,3,2,46808.0,1,22,43174.0,0,17:00:00,43200.0,30,22,26.0
True,10-25,9,606,41,183,900494,1,0,3,15,18006.0,0,34,14288.0,1,9:00:00,14400.0,39,34,112.0
True,10-25,15,753,30,186,901060,1,0,3,16,39605.0,0,16,35971.0,1,15:00:00,36000.0,29,16,29.0
True,10-25,13,641,44,204,906253,0,0,3,44,32400.0,0,35,28794.0,0,13:00:00,28800.0,43,35,6.0
True,10-25,9,829,29,205,903416,0,0,3,27,18000.0,0,2,14258.0,0,9:00:00,14400.0,26,2,142.0
True,10-25,7,9,26,219,904265,0,0,3,25,10801.0,0,7,7191.0,0,7:00:00,7200.0,24,7,9.0
True,10-25,15,700,38,233,906439,1,0,3,28,39600.0,1,2,35948.0,1,15:00:00,36000.0,27,2,52.0
True,10-25,13,806,35,236,906529,1,0,3,32,32402.0,1,7,28573.0,1,13:00:00,28800.0,31,7,227.0
True,10-25,19,870,48,237,901394,0,0,3,41,54003.0,0,15,50337.0,0,19:00:00,50400.0,40,15,63.0
True,10-25,11,609,46,243,900941,0,0,3,46,25201.0,0,22,21450.0,0,11:00:00,21600.0,45,22,150.0
True,10-25,9,867,36,250,900370,1,0,3,8,18008.0,0,19,14298.0,1,9:00:00,14400.0,32,19,102.0
True,10-25,11,161,61,253,905185,1,0,3,45,25203.0,1,14,21433.0,1,11:00:00,21600.0,43,15,167.0
True,10-25,19,906,40,268,902451,1,0,3,37,54006.0,1,7,50399.0,1,19:00:00,50400.0,36,7,1.0
True,10-25,13,903,34,269,906225,1,0,3,11,32408.0,0,20,28751.0,1,13:00:00,28800.0,33,20,49.0
True,10-25,17,621,43,273,902986,0,0,3,3,46807.0,1,36,43124.0,0,17:00:00,43200.0,42,36,76.0
True,10-25,17,691,15,278,942157,0,0,3,2,46807.0,0,10,43186.0,0,17:00:00,43200.0,14,10,14.0
True,10-25,19,697,32,296,906711,1,0,3,10,43186.0,0,22,50247.0,1,19:00:00,50400.0,30,22,153.0
True,10-25,9,841,43,298,900375,1,0,3,16,32403.0,0,23,14373.0,1,9:00:00,14400.0,41,23,27.0
True,10-25,21,676,50,326,904699,1,0,3,23,14373.0,1,7,57547.0,1,21:00:00,57600.0,36,7,53.0
True,10-25,15,203,24,332,905782,1,0,3,3,39604.0,1,2,35942.0,1,15:00:00,36000.0,23,3,58.0
True,10-25,17,665,39,336,906087,0,0,3,27,46802.0,0,10,43170.0,0,17:00:00,43200.0,26,10,30.0
True,10-25,7,574,33,344,901164,0,0,3,33,10806.0,0,24,7166.0,0,7:00:00,7200.0,32,24,34.0
True,10-25,7,681,36,348,907280,1,0,3,27,10808.0,1,7,7033.0,1,7:00:00,7200.0,26,7,167.0
True,10-25,7,804,26,357,911530,0,0,3,21,10800.0,0,26,5575.0,1,7:00:00,7200.0,20,2,1625.0
True,10-25,7,867,36,367,900356,0,0,3,16,10809.0,1,31,7115.0,0,7:00:00,7200.0,35,31,85.0
True,10-25,11,37,33,384,912334,0,0,3,32,25200.0,0,21,21507.0,0,11:00:00,21600.0,31,22,93.0
True,10-25,9,691,15,401,942163,1,0,3,2,39607.0,0,10,14348.0,1,9:00:00,14400.0,14,10,52.0
True,10-25,11,588,42,412,904491,1,0,3,12,25206.0,0,29,21486.0,1,11:00:00,21600.0,41,29,114.0
True,10-25,15,705,69,418,900794,0,0,3,52,39602.0,0,12,35855.0,0,15:00:00,36000.0,50,12,145.0
True,10-25,7,679,35,419,906466,1,0,3,9,10803.0,0,23,7182.0,1,7:00:00,7200.0,35,23,18.0
True,10-25,15,906,40,422,906588,1,0,3,11,39600.0,0,26,35893.0,1,15:00:00,36000.0,39,26,107.0
True,10-25,13,804,26,423,904783,1,0,3,26,32419.0,1,14,28795.0,1,13:00:00,28800.0,25,14,5.0
True,10-25,9,640,41,432,903173,0,0,3,31,18004.0,0,4,14369.0,0,9:00:00,14400.0,30,4,31.0
True,10-25,11,806,35,446,906551,1,0,3,32,25209.0,1,7,21380.0,1,11:00:00,21600.0,31,7,220.0
True,10-25,7,175,30,459,902476,0,0,3,30,10801.0,0,15,7190.0,0,7:00:00,7200.0,29,15,10.0
True,10-25,9,97,24,462,921462,1,0,3,7,18004.0,0,9,14306.0,1,9:00:00,14400.0,21,9,94.0
True,10-25,17,619,44,467,904723,0,0,3,26,46801.0,0,7,43189.0,0,17:00:00,43200.0,25,7,11.0
True,10-25,7,343,15,476,901725,1,0,3,15,10808.0,0,5,7149.0,1,7:00:00,7200.0,13,5,51.0
True,10-25,17,905,38,502,901672,0,0,3,25,46807.0,0,10,43101.0,0,17:00:00,43200.0,24,10,99.0
True,10-25,7,850,39,510,906819,1,0,3,17,10800.0,0,31,6940.0,1,7:00:00,7200.0,38,31,260.0
True,10-25,7,629,53,516,901587,1,0,3,53,10801.0,1,19,7193.0,1,7:00:00,7200.0,52,19,7.0
True,10-25,9,1,31,517,902753,1,0,3,6,18009.0,0,15,14313.0,1,9:00:00,14400.0,29,15,87.0
True,10-25,7,471,30,518,907233,0,0,3,30,10805.0,0,14,7136.0,0,7:00:00,7200.0,29,14,64.0
True,10-25,15,951,30,521,903250,1,0,3,30,39602.0,1,15,35951.0,1,15:00:00,36000.0,29,15,49.0
True,10-25,13,6002,30,524,900339,1,0,3,30,32408.0,1,9,28542.0,1,13:00:00,28800.0,29,9,258.0
True,10-25,15,872,47,527,902307,0,0,3,47,39601.0,0,28,35871.0,0,15:00:00,36000.0,46,28,129.0
True,10-25,7,652,85,533,903940,0,0,3,76,10806.0,0,53,7128.0,0,7:00:00,7200.0,74,53,72.0
True,10-25,17,342,23,536,904065,0,0,3,22,46801.0,1,17,43081.0,0,17:00:00,43200.0,22,17,119.0
True,10-25,17,806,35,548,906536,0,0,3,32,46800.0,0,8,43036.0,0,17:00:00,43200.0,31,8,164.0
True,10-25,7,867,36,555,900359,1,0,3,32,10801.0,1,13,7189.0,1,7:00:00,7200.0,31,13,11.0
True,10-25,13,656,38,561,904183,1,0,3,2,34266.0,0,30,28756.0,1,13:00:00,28800.0,34,30,44.0
True,10-25,11,711,47,563,906941,1,0,3,9,25209.0,0,39,21501.0,1,11:00:00,21600.0,46,39,99.0
True,10-25,17,725,21,564,902040,1,0,3,10,46806.0,0,6,43105.0,1,17:00:00,43200.0,20,6,95.0
True,10-25,11,31,22,568,901821,1,0,3,21,25205.0,0,12,21554.0,1,11:00:00,21600.0,21,12,46.0
True,10-25,13,679,36,573,906447,0,0,3,35,32402.0,0,10,28716.0,0,13:00:00,28800.0,34,10,84.0
True,10-25,9,813,25,575,906636,0,0,3,20,18008.0,1,20,14318.0,0,9:00:00,14400.0,24,20,82.0
True,10-25,19,858,38,576,906049,1,0,3,38,54008.0,1,21,50375.0,1,19:00:00,50400.0,37,21,25.0
True,10-25,7,916,24,587,905490,0,0,3,24,10805.0,0,14,6979.0,0,7:00:00,7200.0,23,14,221.0
True,10-25,19,652,85,598,903914,1,0,3,33,54005.0,1,5,50391.0,1,19:00:00,50400.0,32,5,9.0
True,10-25,17,61102,51,605,906370,0,0,3,50,46800.0,0,31,43150.0,0,17:00:00,43200.0,49,31,50.0
True,10-25,13,735,25,608,900555,0,0,3,16,32401.0,0,18,28750.0,0,13:00:00,28800.0,24,18,50.0
True,10-25,19,30,24,611,942295,1,0,3,13,54006.0,0,9,50227.0,1,19:00:00,50400.0,22,9,173.0
True,10-25,19,842,29,615,901754,0,0,3,9,54000.0,1,15,50150.0,0,19:00:00,50400.0,28,15,250.0
True,10-25,13,691,15,617,900239,0,0,3,2,32409.0,0,5,28740.0,0,13:00:00,28800.0,14,2,60.0
True,10-25,7,4204,33,619,904927,1,0,3,31,10803.0,1,2,7181.0,1,7:00:00,7200.0,30,3,19.0
True,10-25,11,685,44,634,902524,0,0,3,44,25208.0,0,33,21428.0,0,11:00:00,21600.0,43,33,172.0
True,10-25,11,860,42,642,901833,1,0,3,42,25200.0,1,36,21474.0,1,11:00:00,21600.0,41,37,126.0
True,10-25,7,607,43,645,906349,0,0,3,2,10809.0,1,28,7162.0,0,7:00:00,7200.0,42,28,38.0
True,10-25,9,810,22,647,903442,0,0,3,8,18000.0,1,10,14310.0,0,9:00:00,14400.0,21,10,90.0
True,10-25,21,953,31,653,922508,1,0,3,10,14310.0,0,19,57500.0,1,21:00:00,57600.0,30,19,100.0
True,10-25,13,858,38,655,906046,1,0,3,38,32409.0,1,33,28795.0,1,13:00:00,28800.0,37,33,5.0
True,10-25,15,732,16,659,900545,1,0,3,16,39602.0,0,7,35972.0,1,15:00:00,36000.0,15,7,28.0
True,10-25,13,676,50,668,904688,0,0,3,34,32409.0,0,5,28690.0,0,13:00:00,28800.0,33,6,110.0
True,10-25,9,824,42,674,907205,0,0,3,41,18009.0,0,26,14393.0,0,9:00:00,14400.0,40,26,7.0
True,10-25,15,30,24,693,942304,1,0,3,21,39609.0,0,18,35927.0,1,15:00:00,36000.0,22,18,73.0
True,10-25,17,672,39,707,902500,1,0,3,12,46805.0,0,28,43138.0,1,17:00:00,43200.0,37,28,62.0
True,10-25,17,800,50,721,922534,1,0,3,7,46801.0,0,29,43194.0,1,17:00:00,43200.0,50,29,6.0
True,10-25,13,631,45,734,904140,1,0,3,14,32409.0,0,25,28726.0,1,13:00:00,28800.0,44,25,74.0
True,10-25,9,592,26,735,906724,0,0,3,23,18007.0,1,19,14367.0,0,9:00:00,14400.0,24,19,33.0
True,10-25,9,665,39,736,906071,0,0,3,39,18005.0,0,11,14341.0,0,9:00:00,14400.0,38,11,59.0
True,10-25,17,732,16,738,900552,1,0,3,10,46808.0,0,4,43006.0,1,17:00:00,43200.0,15,4,194.0
True,10-25,13,622,50,741,904573,1,0,3,50,32403.0,1,20,28700.0,1,13:00:00,28800.0,49,20,100.0
True,10-25,19,50,18,743,932522,0,0,3,15,54001.0,1,7,50373.0,0,19:00:00,50400.0,16,7,27.0
True,10-25,15,763,53,758,932359,1,0,3,8,39602.0,0,30,35911.0,1,15:00:00,36000.0,52,30,89.0
True,10-25,9,842,29,760,900960,0,0,3,16,18006.0,1,23,14265.0,0,9:00:00,14400.0,28,23,135.0
True,10-25,13,659,65,769,905941,0,0,3,47,32403.0,0,18,28661.0,0,13:00:00,28800.0,46,18,139.0
True,10-25,9,803,34,776,906606,1,0,3,14,18003.0,0,26,14182.0,1,9:00:00,14400.0,33,26,218.0
True,10-25,13,671,41,788,902136,1,0,3,6,32409.0,0,28,28754.0,1,13:00:00,28800.0,34,28,46.0
True,10-25,7,878,42,793,905859,1,0,3,8,10809.0,0,33,7107.0,1,7:00:00,7200.0,43,33,93.0
True,10-25,17,673,44,800,900235,1,0,3,25,46808.0,1,2,42197.0,1,17:00:00,43200.0,24,2,1003.0
True,10-25,7,458,32,804,905435,1,0,3,32,10809.0,1,11,7188.0,1,7:00:00,7200.0,31,11,12.0
True,10-25,7,678,35,813,904385,1,0,3,22,10803.0,1,6,7003.0,1,7:00:00,7200.0,21,6,197.0
True,10-25,9,859,62,818,900459,0,0,3,5,18000.0,1,41,14378.0,0,9:00:00,14400.0,61,41,22.0
True,10-25,9,849,42,819,903223,0,0,3,3,18009.0,1,21,14240.0,0,9:00:00,14400.0,41,21,160.0
True,10-25,11,673,44,824,900236,0,0,3,2,25201.0,1,22,21520.0,0,11:00:00,21600.0,43,22,80.0
True,10-25,7,840,36,838,903118,0,0,3,23,10809.0,0,7,7148.0,0,7:00:00,7200.0,22,7,52.0
True,10-25,9,3,26,839,932508,0,0,3,7,18007.0,1,11,14171.0,0,9:00:00,14400.0,24,11,229.0
True,10-25,9,185,31,842,905684,0,0,3,28,18006.0,0,8,14356.0,0,9:00:00,14400.0,27,8,44.0
True,10-25,19,96,45,843,907074,1,0,3,2,54008.0,0,17,50389.0,1,19:00:00,50400.0,44,17,11.0
True,10-25,9,402,27,844,900154,1,0,3,16,18005.0,0,21,14353.0,1,9:00:00,14400.0,26,21,47.0
True,10-25,19,685,44,846,902513,0,0,3,33,54001.0,0,5,50211.0,0,19:00:00,50400.0,32,5,189.0
True,10-25,11,642,42,847,905479,1,0,3,14,25208.0,0,32,21219.0,1,11:00:00,21600.0,40,32,381.0
True,10-25,7,652,85,848,903907,0,0,3,64,10801.0,0,32,7191.0,0,7:00:00,7200.0,63,32,9.0
True,10-25,11,840,36,860,903100,1,0,3,2,25200.0,0,23,21496.0,1,11:00:00,21600.0,35,23,104.0
True,10-25,9,746,14,863,905368,0,0,3,14,18002.0,0,6,14326.0,0,9:00:00,14400.0,13,6,74.0
True,10-25,15,803,34,876,906599,0,0,3,10,39608.0,1,21,35937.0,0,15:00:00,36000.0,33,21,63.0
True,10-25,15,220,23,877,907364,0,0,3,19,39603.0,1,6,35994.0,0,15:00:00,36000.0,22,6,6.0
True,10-25,17,961,37,880,903088,0,0,3,24,46804.0,0,2,42982.0,0,17:00:00,43200.0,23,2,218.0
True,10-25,7,652,85,882,903930,0,0,3,32,10805.0,0,2,7194.0,0,7:00:00,7200.0,30,2,6.0
True,10-25,11,655,34,895,906101,0,0,3,30,25208.0,1,26,21525.0,0,11:00:00,21600.0,33,27,75.0
True,10-25,11,850,39,900,906987,0,0,3,13,25200.0,1,27,21565.0,0,11:00:00,21600.0,38,27,35.0
True,10-25,7,638,46,902,932624,1,0,3,46,10854.0,1,28,7172.0,1,7:00:00,7200.0,45,28,28.0
True,10-25,17,705,69,908,900434,1,0,3,64,46800.0,1,28,43109.0,1,17:00:00,43200.0,63,28,91.0
True,10-25,17,48,49,912,963840,0,0,3,30,46802.0,0,9,43130.0,0,17:00:00,43200.0,24,9,70.0
True,10-25,17,911,34,915,907294,1,0,3,5,46807.0,0,23,43132.0,1,17:00:00,43200.0,33,23,68.0
True,10-25,15,697,32,918,906713,0,0,3,13,39608.0,1,27,35928.0,0,15:00:00,36000.0,31,27,72.0
True,10-25,17,879,39,920,904352,0,0,3,38,46806.0,0,21,43018.0,0,17:00:00,43200.0,37,21,182.0
True,10-25,7,9,26,924,904261,1,0,3,26,10807.0,1,11,7128.0,1,7:00:00,7200.0,25,11,72.0
True,10-25,17,954,42,933,907427,1,0,3,21,46801.0,1,2,43167.0,1,17:00:00,43200.0,16,2,33.0
True,10-25,9,97,24,949,921460,1,0,3,22,18007.0,1,9,14308.0,1,9:00:00,14400.0,21,9,92.0
True,10-25,9,533,28,950,900674,1,0,3,28,18003.0,0,17,14376.0,1,9:00:00,14400.0,27,17,24.0
True,10-25,11,6002,30,956,900330,0,0,3,29,25207.0,0,2,21567.0,0,11:00:00,21600.0,28,2,33.0
True,10-25,11,657,47,959,921137,0,0,3,2,25206.0,1,27,21505.0,0,11:00:00,21600.0,46,27,95.0
True,10-25,17,22,30,963,912200,1,0,3,6,46804.0,0,16,43162.0,1,17:00:00,43200.0,29,16,38.0
True,10-25,21,818,42,970,904459,0,0,3,16,43162.0,1,18,57562.0,0,21:00:00,57600.0,40,18,38.0
True,10-25,13,872,47,975,902316,0,0,3,43,32404.0,0,12,28767.0,0,13:00:00,28800.0,42,12,33.0
True,10-25,11,632,45,986,904198,1,0,3,42,25207.0,1,30,21584.0,1,11:00:00,21600.0,41,30,16.0
True,10-25,15,571,23,989,907384,0,0,3,15,39607.0,1,8,35971.0,0,15:00:00,36000.0,22,8,29.0
True,10-25,11,840,36,995,903115,0,0,3,20,25204.0,1,30,21441.0,0,11:00:00,21600.0,35,31,159.0
True,10-25,17,6012,40,996,902567,0,0,3,24,46807.0,0,12,43160.0,0,17:00:00,43200.0,23,12,40.0
True,10-25,17,462,24,1006,901880,1,0,3,9,46809.0,1,3,43117.0,1,17:00:00,43200.0,8,3,83.0
True,10-25,7,55053,11,1010,904674,0,0,3,5,10807.0,1,6,7097.0,0,7:00:00,7200.0,10,6,103.0
True,10-25,13,852,35,1011,902677,0,0,3,16,32409.0,1,24,28714.0,0,13:00:00,28800.0,34,24,86.0
True,10-25,7,594,28,1013,904957,0,0,3,21,10805.0,1,10,7197.0,0,7:00:00,7200.0,27,10,3.0
True,10-25,9,856,42,1026,906883,0,0,3,37,18009.0,0,14,14331.0,0,9:00:00,14400.0,36,14,69.0
True,10-25,19,218,21,1041,903942,0,0,3,14,14331.0,0,12,50308.0,0,19:00:00,50400.0,20,12,92.0
True,10-25,19,670,28,1058,919780,1,0,3,28,54008.0,1,18,50295.0,1,19:00:00,50400.0,27,18,105.0
True,10-25,13,859,62,1061,900445,1,0,3,48,32401.0,1,15,28667.0,1,13:00:00,28800.0,47,15,133.0
True,10-25,13,655,34,1068,906095,0,0,3,28,32406.0,1,22,28733.0,0,13:00:00,28800.0,33,22,67.0
True,10-25,9,634,35,1078,912235,0,0,3,12,18008.0,1,18,14317.0,0,9:00:00,14400.0,34,18,83.0
True,10-25,7,800,51,1081,922546,1,0,3,34,10805.0,1,13,7149.0,1,7:00:00,7200.0,33,13,51.0
True,10-25,21,30,24,1082,942310,0,0,3,13,7149.0,1,11,57514.0,0,21:00:00,57600.0,23,12,86.0
True,10-25,11,861,40,1083,905891,0,0,3,38,25202.0,0,31,21598.0,0,11:00:00,21600.0,37,31,2.0
True,10-25,17,593,26,1086,906726,0,0,3,8,46801.0,1,8,43191.0,0,17:00:00,43200.0,25,8,9.0
True,10-25,13,4013,29,1100,907241,0,0,3,10,32403.0,1,24,28723.0,0,13:00:00,28800.0,28,24,77.0
True,10-25,17,850,39,1111,906791,1,0,3,2,46805.0,0,17,43111.0,1,17:00:00,43200.0,38,17,89.0
True,10-25,19,878,44,1113,905865,1,0,3,44,54004.0,1,32,50390.0,1,19:00:00,50400.0,43,32,10.0
True,10-25,17,952,35,1117,900774,1,0,3,34,47299.0,1,21,43082.0,1,17:00:00,43200.0,33,21,118.0
True,10-25,9,871,41,1126,906829,1,0,3,16,18006.0,0,34,14389.0,1,9:00:00,14400.0,39,34,11.0
True,10-25,19,879,39,1127,904349,0,0,3,38,54006.0,0,22,50332.0,0,19:00:00,50400.0,37,23,68.0
True,10-25,21,753,30,1135,901060,1,0,3,22,50332.0,0,5,57479.0,1,21:00:00,57600.0,29,6,121.0
True,10-25,15,829,29,1137,903416,1,0,3,18,39606.0,0,19,35851.0,1,15:00:00,36000.0,28,19,149.0
True,10-25,11,656,38,1141,902346,1,0,3,2,25200.0,0,11,21537.0,1,11:00:00,21600.0,34,11,63.0
True,10-25,17,668,42,1142,902907,0,0,3,37,46809.0,0,26,43160.0,0,17:00:00,43200.0,36,26,40.0
True,10-25,11,826,50,1150,907090,0,0,3,5,25202.0,1,28,21556.0,0,11:00:00,21600.0,35,28,44.0
True,10-25,9,849,42,1156,903243,1,0,3,14,18009.0,0,27,14354.0,1,9:00:00,14400.0,40,27,46.0
True,10-25,9,706,50,1157,906555,1,0,3,10,18001.0,0,40,14383.0,1,9:00:00,14400.0,46,40,17.0
True,10-25,17,660,34,1163,942262,1,0,3,34,46801.0,1,29,43132.0,1,17:00:00,43200.0,33,29,68.0
True,10-25,13,628,53,1175,902263,0,0,3,2,32400.0,1,33,28674.0,0,13:00:00,28800.0,52,33,126.0
True,10-25,15,850,39,1176,906985,1,0,3,12,39605.0,0,18,35931.0,1,15:00:00,36000.0,38,18,69.0
True,10-25,9,655,34,1177,904615,1,0,3,2,18009.0,0,12,14389.0,1,9:00:00,14400.0,33,12,11.0
True,10-25,19,865,33,1184,907352,1,0,3,33,54002.0,1,9,50365.0,1,19:00:00,50400.0,32,9,35.0
True,10-25,13,903,34,1202,906219,1,0,3,16,32401.0,0,27,28706.0,1,13:00:00,28800.0,33,27,94.0
True,10-25,11,6011,36,1209,904514,0,0,3,35,25206.0,0,13,21529.0,0,11:00:00,21600.0,34,13,71.0
True,10-25,19,849,42,1211,903243,1,0,3,26,54004.0,0,36,50291.0,1,19:00:00,50400.0,40,36,109.0
True,10-25,19,849,42,1218,903233,0,0,3,15,54009.0,1,31,50362.0,0,19:00:00,50400.0,41,31,38.0
True,10-25,9,619,44,1219,904730,0,0,3,44,18004.0,0,16,14299.0,0,9:00:00,14400.0,35,16,101.0
True,10-25,17,634,35,1226,912355,1,0,3,32,46809.0,1,6,43189.0,1,17:00:00,43200.0,31,6,11.0
True,10-25,9,185,31,1227,905678,0,0,3,7,18003.0,1,26,14047.0,0,9:00:00,14400.0,30,26,353.0
True,10-25,7,400,30,1234,900134,1,0,3,30,10805.0,1,25,7183.0,1,7:00:00,7200.0,29,25,17.0
True,10-25,17,688,68,1235,903784,0,0,3,55,46806.0,0,29,43183.0,0,17:00:00,43200.0,54,29,17.0
True,10-25,15,954,42,1250,902553,1,0,3,42,39605.0,1,15,35833.0,1,15:00:00,36000.0,41,15,167.0
True,10-25,7,631,45,1253,932319,0,0,3,44,10804.0,0,28,7173.0,0,7:00:00,7200.0,43,28,27.0
True,10-25,17,907,34,1260,905515,1,0,3,6,46808.0,0,13,43156.0,1,17:00:00,43200.0,32,13,44.0
True,10-25,11,642,42,1265,902996,0,0,3,12,25200.0,1,37,21548.0,0,11:00:00,21600.0,41,37,52.0
True,10-25,15,692,23,1268,942168,0,0,3,19,39601.0,1,16,35983.0,0,15:00:00,36000.0,22,16,17.0
True,10-25,19,571,23,1278,907412,0,0,3,21,54005.0,0,8,50373.0,0,19:00:00,50400.0,22,8,27.0
True,10-25,21,1,31,1281,904645,1,0,3,8,50373.0,0,24,57467.0,1,21:00:00,57600.0,28,24,133.0
True,10-25,7,652,85,1283,903880,1,0,3,38,10802.0,1,12,7183.0,1,7:00:00,7200.0,37,12,17.0
True,10-25,9,851,28,1284,903516,1,0,3,28,18008.0,1,8,14252.0,1,9:00:00,14400.0,27,8,148.0
True,10-25,17,218,21,1287,903942,0,0,3,6,46807.0,1,8,43127.0,0,17:00:00,43200.0,19,8,73.0
True,10-25,21,632,45,1304,904189,1,0,3,8,43127.0,0,28,57534.0,1,21:00:00,57600.0,41,28,66.0
True,10-25,13,656,38,1310,902347,0,0,3,32,32406.0,0,2,28768.0,0,13:00:00,28800.0,31,2,32.0
True,10-25,17,802,29,1312,903050,0,0,3,26,46802.0,0,3,43177.0,0,17:00:00,43200.0,25,3,23.0
True,10-25,7,841,43,1321,902918,0,0,3,43,10803.0,0,21,7192.0,0,7:00:00,7200.0,42,21,8.0
True,10-25,19,681,36,1323,907282,1,0,3,36,54003.0,1,20,50238.0,1,19:00:00,50400.0,34,20,162.0
True,10-25,9,908,48,1327,900926,1,0,3,35,18007.0,1,8,14332.0,1,9:00:00,14400.0,34,8,68.0
True,10-25,19,3,26,1331,932513,1,0,3,13,54008.0,0,15,50338.0,1,19:00:00,50400.0,25,15,62.0
True,10-25,17,47,52,1348,963841,0,0,3,50,46805.0,0,31,43004.0,0,17:00:00,43200.0,49,31,196.0
True,10-25,17,55050,21,1353,905794,0,0,3,5,46801.0,1,11,43196.0,0,17:00:00,43200.0,20,11,4.0
True,10-25,7,3,26,1365,932512,1,0,3,9,10807.0,0,16,7119.0,1,7:00:00,7200.0,25,16,81.0
True,10-25,11,906,40,1368,900887,1,0,3,14,25205.0,0,34,21369.0,1,11:00:00,21600.0,39,34,231.0
True,10-25,17,857,39,1378,904034,0,0,3,39,46808.0,0,16,43147.0,0,17:00:00,43200.0,38,16,53.0
True,10-25,17,653,40,1391,900202,1,0,3,40,46804.0,1,15,43150.0,1,17:00:00,43200.0,39,15,50.0
True,10-25,21,725,21,1392,902040,1,0,3,15,43150.0,1,15,57468.0,1,21:00:00,57600.0,20,15,132.0
True,10-25,13,675,40,1393,905241,0,0,3,40,32406.0,0,24,28587.0,0,13:00:00,28800.0,39,24,213.0
True,10-25,17,850,39,1398,906984,1,0,3,16,46800.0,0,25,43076.0,1,17:00:00,43200.0,38,25,124.0
True,10-25,7,606,41,1411,900504,1,0,3,7,10801.0,0,28,6940.0,1,7:00:00,7200.0,39,28,260.0
True,10-25,13,623,32,1414,904579,0,0,3,31,32403.0,0,17,28675.0,0,13:00:00,28800.0,30,17,125.0
True,10-25,17,855,47,1426,901377,0,0,3,28,46808.0,0,4,43138.0,0,17:00:00,43200.0,27,5,62.0
True,10-25,9,595,19,1431,904010,1,0,3,19,18005.0,1,7,14355.0,1,9:00:00,14400.0,18,7,45.0
