O_DATA,O_LINENO,O_TERMINALNO,predHour,pred_start_stop_ID,pred_end_stop_ID,pred_timeStamps
10-26,953,921683,19:00:00,18,30,55;209;319;390;525;649;740;882;941;1011;1077;1251;1319
10-26,868,906241,17:00:00,5,21,148;268;390;542;668;799;944;1225;1371;1504;1827;1971;2167;2485;2682;3014;3190
10-27,735,900557,9:00:00,5,24,83;171;238;371;458;553;614;652;752;947;1074;1283;1397;1492;1580;1728;1838;1987;2084;2285
10-30,681,907282,16:00:00,4,24,163;374;460;652;872;931;994;1140;1367;1538;1619;1679;1761;1960;2100;2212;2421;2697;2773;2868;3066
10-27,655,906093,13:00:00,28,33,81;165;249;386;524;608
10-29,836,905217,14:00:00,9,34,36;216;337;627;790;896;1020;1199;1324;1456;1588;1694;1857;2020;2152;2222;2349;2434;2543;2646;2751;2886;3024;3110;3224;3452
10-26,723,904503,9:00:00,8,16,102;286;397;702;765;829;1123;1182;1228
10-26,47,963840,7:00:00,2,20,62;169;378;504;628;823;1052;1303;1434;1666;1857;2067;2359;2613;2873;3052;3226;3603;3713
10-28,866,905583,8:00:00,20,37,140;228;364;430;525;776;909;1032;1132;1264;1411;1516;1609;1709;1838;1924;2086;2215
10-28,681,907251,14:00:00,27,34,26;275;498;649;775;883;1012;1178
10-25,652,903929,7:00:00,67,84,61;274;366;541;643;773;890;1087;1177;1255;1396;1488;1568;1683;1757;2066;2246;2417
10-25,55050,905821,7:00:00,7,20,129;248;469;684;841;977;1176;1229;1461;1636;1925;2147;2223;2581
10-25,34,912368,7:00:00,13,25,124;267;433;608;673;783;873;937;1045;1210;1309;1384;1514
10-27,153,904127,11:00:00,11,20,15;79;149;211;287;382;520;622;711;938
10-25,606,900499,13:00:00,10,39,83;216;355;525;646;745;936;1204;1274;1414;1482;1635;1845;1950;2070;2175;2276;2414;2533;2664;2765;2886;2984;3030;3074;3117;3159;3206;3261;3297
10-27,717,901011,9:00:00,6,11,40;155;239;352;499;673
10-29,847,906676,22:00:00,32,47,81;197;296;421;567;640;690;777;884;940;1015;1089;1318;1371;1451;1541
10-29,600,912249,22:00:00,18,25,6;67;134;295;387;433;633;1145
10-31,462,901887,8:00:00,12,18,133;299;675;811;1862;2082;2791
10-26,907,905526,13:00:00,26,33,68;147;230;379;585;747;972;1039
10-29,968,903263,10:00:00,13,18,6;137;199;262;365;454
10-26,608,905376,17:00:00,41,48,0;137;262;364;462;577;662;774
10-28,838,921600,12:00:00,35,43,24;174;245;332;473;637;818;942;1184
10-27,3,932510,9:00:00,19,25,0;157;318;495;580;719;818
10-27,872,902285,11:00:00,8,35,12;190;289;391;488;611;771;1065;1147;1297;1444;1567;1646;1920;2045;2274;2395;2505;2604;2729;2833;2935;3040;3142;3290;3379;3515;3627
10-26,830,907143,11:00:00,19,26,66;145;372;463;520;572;736;853
10-28,9,904262,18:00:00,20,25,96;292;451;530;637;837
10-25,862,901091,9:00:00,17,30,47;135;246;353;643;931;985;1104;1312;1533;1625;1875;1944;2016
10-27,6002,900331,17:00:00,9,29,108;307;383;528;668;749;996;1187;1301;1423;1551;1636;1753;1852;1947;2112;2195;2288;2510;2663;2738
10-25,308,901354,17:00:00,11,20,43;100;313;376;503;630;774;917;1017;1073
10-28,662,900640,12:00:00,36,42,0;72;125;220;298;492;556
10-31,693,907415,10:00:00,15,35,0;147;257;446;580;751;846;951;1029;1111;1267;1358;1451;1527;1630;1685;1742;1799;1863;2054;2146
10-30,47,963841,18:00:00,43,51,0;159;308;652;876;1067;1182;1341;1453
10-30,751,942260,20:00:00,19,25,56;131;179;226;331;469;575
10-26,688,903773,13:00:00,60,66,77;162;338;445;560;618;925
10-26,673,900216,17:00:00,29,43,51;243;443;556;652;809;941;1072;1265;1392;1493;1707;1876;1952;2021
10-31,652,903877,18:00:00,59,68,56;166;309;380;439;546;616;689;870;1007
10-30,570,901148,12:00:00,8,17,263;768;1178;1427;1783;2070;2325;2688;3013;3305
10-31,657,921144,18:00:00,12,38,96;196;381;640;783;920;1134;1387;1467;1606;1700;1797;2010;2192;2292;2435;2561;2814;2918;3031;3100;3202;3264;3388;3467;3554;3692
10-26,186,906506,7:00:00,32,44,110;213;317;396;511;799;956;1150;1355;1628;1937;2115;2499
10-30,711,906950,16:00:00,15,45,61;110;156;233;338;399;551;601;651;838;921;983;1103;1268;1339;1430;1544;1608;1717;1840;1977;2140;2213;2276;2393;2467;2567;2666;2852;3079;3348
10-29,693,921090,16:00:00,22,35,80;167;257;421;533;649;755;876;940;1009;1079;1161;1354;1440
10-30,952,906250,16:00:00,26,34,7;173;361;479;582;987;1115;1327;1392
10-26,48,906229,17:00:00,39,51,57;285;430;673;856;1058;1185;1299;1466;1582;1698;1814;1930
10-31,903,906221,16:00:00,16,31,67;188;255;420;532;745;929;1037;1168;1269;1429;1606;1667;1742;1834;2074
10-25,1,902756,13:00:00,11,21,60;148;254;358;509;577;729;989;1077;1154;1291
10-25,619,904727,21:00:00,11,43,43;236;324;480;641;767;920;1120;1238;1278;1407;1479;1590;1704;1765;1815;2035;2183;2227;2295;2416;2555;2592;2653;2744;2965;3083;3205;3327;3401;3513;3586;3662
10-26,804,905248,17:00:00,15,23,122;331;412;551;824;1162;1406;1575;1666
10-31,856,906888,16:00:00,8,31,57;171;289;431;529;644;778;900;1024;1226;1370;1488;1702;1879;2080;2331;2515;2798;2920;3148;3320;3442;3626;3757
10-27,707,905909,15:00:00,19,24,52;324;477;612;869;1050
10-25,629,901581,15:00:00,17,39,86;214;307;396;463;568;670;769;857;979;1089;1161;1263;1328;1459;1535;1638;1757;1881;1982;2054;2154;2213
10-26,954,907445,17:00:00,29,41,42;129;288;372;446;545;664;790;893;973;1030;1118;1209
10-26,861,905901,17:00:00,9,29,120;306;432;680;850;982;1277;1471;1638;1920;2032;2145;2250;2505;2625;2720;2854;2997;3091;3190;3281
10-25,458,901533,15:00:00,23,31,32;95;137;220;293;393;577;626;699
10-28,867,900359,12:00:00,23,35,41;104;182;314;453;633;759;888;1035;1228;1349;1525;1619
10-26,96,921468,7:00:00,35,44,60;120;170;224;296;345;428;516;694;788
10-26,643,963812,17:00:00,26,30,89;199;366;476;569
10-26,827,902382,7:00:00,4,17,126;253;499;658;797;900;1040;1203;1319;1428;1575;1679;1875;1989
10-30,824,907217,14:00:00,27,40,27;110;214;309;403;483;602;758;870;937;1011;1152;1270;1307
10-26,705,900799,11:00:00,30,67,46;145;234;362;480;579;662;726;774;842;898;978;1075;1147;1225;1288;1387;1494;1569;1663;1778;1856;1913;1978;2044;2143;2223;2274;2414;2466;2547;2610;2707;2802;2896;3005;3080;3141
10-26,186,906476,9:00:00,20,30,39;146;240;308;363;529;612;699;768;915;985
10-26,911,907291,11:00:00,18,32,62;231;438;694;802;932;1077;1278;1438;1536;1692;1849;1910;2033;2119
10-28,634,912241,16:00:00,17,32,107;236;443;558;689;771;851;975;1064;1209;1420;1539;1633;1874;2131;2445
10-30,13,904705,14:00:00,8,19,57;220;334;387;527;655;761;841;918;1063;1347;1509
10-27,857,904021,17:00:00,33,37,80;207;342;477;593
10-29,908,900912,8:00:00,6,37,74;165;288;412;527;598;676;789;911;1024;1093;1137;1222;1431;1675;1800;1940;2001;2065;2223;2296;2351;2527;2650;2723;2842;2959;3014;3078;3178;3330;3438
10-27,800,922546,15:00:00,26,49,0;124;356;487;693;820;1093;1209;1297;1400;1573;1804;1864;1980;2063;2156;2228;2342;2545;2713;2898;3095;3195;3341
10-27,907,905516,9:00:00,20,32,90;191;359;592;719;805;901;1072;1126;1292;1435;1559;1727
10-28,655,906092,8:00:00,23,33,0;79;162;217;319;421;507;604;712;801;841
10-29,362,905625,20:00:00,2,16,92;176;223;267;299;343;529;578;645;746;873;922;997;1086;1202
10-31,175,902467,18:00:00,10,29,0;75;171;406;595;694;951;1032;1117;1374;1453;1569;1659;1800;1933;2053;2168;2270;2417;2643
10-31,50,932547,10:00:00,10,17,113;242;392;587;760;883;1134;1376
10-27,863,960158,19:00:00,33,37,17;78;164;457;603
10-26,570,901156,15:00:00,8,17,157;651;1052;1292;1636;1915;2162;2519;2843;3132
10-27,763,901327,13:00:00,42,51,53;106;178;320;393;531;600;729;846;989
10-25,804,911521,19:00:00,7,23,40;160;307;423;573;677;775;878;1121;1309;1368;1485;1730;2042;2252;2396;2465
10-29,706,906553,20:00:00,39,46,31;87;185;270;350;445;510;565
10-28,697,906696,14:00:00,15,30,0;48;86;166;318;371;514;673;766;928;1073;1295;1412;1503;1620;1756
10-27,593,906726,17:00:00,21,25,96;231;348;539;636
10-25,610,906378,7:00:00,18,35,66;214;421;581;668;835;974;1163;1242;1310;1474;1552;1648;1880;1953;2118;2216;2279
10-25,30,905296,11:00:00,16,23,92;307;369;528;706;866;1096;1328
10-26,367,905602,19:00:00,3,17,87;249;322;420;527;685;763;890;927;1228;1295;1378;1428;1488;1539
10-30,685,902520,14:00:00,11,34,13;243;427;559;768;892;954;1073;1163;1472;1584;1718;1805;1925;2001;2112;2349;2482;2593;2714;2881;2990;3084;3288
10-28,831,907069,10:00:00,8,30,41;212;311;403;520;589;680;764;949;1035;1096;1194;1373;1597;1739;1865;2183;2251;2463;2638;2724;2833;3073
10-30,459,905409,20:00:00,34,44,66;121;191;302;376;446;491;542;637;707;779
10-28,827,903587,16:00:00,6,17,120;273;418;528;676;841;963;1071;1226;1322;1506;1603
10-26,634,912367,17:00:00,19,33,65;167;389;531;658;783;937;1065;1219;1323;1428;1521;1579;1731;1797
10-30,3,932508,20:00:00,13,24,37;125;161;278;331;381;447;563;603;670;712;789
10-29,871,906835,18:00:00,31,40,132;286;409;520;640;778;910;987;1106;1188
10-28,619,904726,10:00:00,31,43,79;248;312;403;524;773;918;1065;1213;1312;1480;1584;1678
10-30,50,932544,8:00:00,13,17,18;181;299;539;811
10-28,903,906219,18:00:00,23,33,24;167;315;459;606;687;753;952;1084;1177;1279
10-25,912,907276,19:00:00,31,35,8;415;491;558;642
10-30,638,932626,10:00:00,28,43,34;112;210;298;393;560;707;794;868;991;1224;1316;1417;1562;1646;1906
10-27,607,906355,9:00:00,27,42,120;242;364;517;682;838;1035;1220;1416;1563;1668;1729;1819;1897;2011;2100
10-26,840,903108,13:00:00,10,35,8;86;227;480;613;761;926;1101;1253;1367;1521;1615;1721;1867;2041;2163;2253;2361;2470;2553;2657;2752;2858;2984;3066;3186
10-30,655,906092,16:00:00,9,33,41;125;232;286;376;558;686;757;825;895;1009;1057;1155;1288;1422;1508;1598;1659;1769;1880;1969;2065;2182;2280;2325
10-26,20,903360,15:00:00,10,31,52;210;297;441;509;556;624;702;793;1090;1180;1257;1389;1460;1520;1607;1711;1836;1936;1986;2051;2155
10-27,686,906038,11:00:00,40,61,90;194;298;534;616;717;767;849;1028;1113;1185;1248;1304;1376;1450;1519;1588;1697;1781;1997;2078;2132
10-25,700,902697,7:00:00,21,37,75;286;403;475;554;765;1029;1107;1238;1393;1512;1631;1788;1887;2023;2110;2179
10-29,535,901550,16:00:00,24,28,46;142;193;250;338
10-28,6001,900298,10:00:00,6,25,101;279;401;578;833;950;1042;1150;1227;1457;1526;1601;1676;1756;1895;2038;2155;2354;2538;2735
10-26,711,906932,21:00:00,28,45,120;172;246;336;384;481;586;712;863;926;978;1080;1140;1224;1308;1478;1688;1940
10-26,753,901063,11:00:00,18,29,40;191;296;376;548;620;694;743;814;934;1024;1069
10-29,698,902371,16:00:00,37,42,67;135;189;263;383;467
10-31,872,902287,10:00:00,25,46,0;76;212;381;615;690;825;1126;1236;1365;1439;1549;1642;1769;1868;1984;2107;2208;2292;2336;2506;2564
10-30,402,900147,12:00:00,11,26,68;144;349;458;563;643;721;812;881;935;1022;1110;1187;1249;1315;1402
10-27,681,907281,11:00:00,9,30,41;112;266;503;685;774;843;934;1140;1283;1396;1606;1881;1958;2057;2258;2539;2654;2834;3082;3306;3459
10-29,220,901472,14:00:00,18,22,14;112;166;212;269
10-27,672,902501,9:00:00,23,38,74;224;351;435;488;601;739;831;963;1061;1109;1334;1449;1636;1755;1915
10-26,571,907389,9:00:00,10,22,22;153;202;260;319;385;506;566;659;756;900;993;1045
10-26,869,903448,19:00:00,21,42,71;132;210;333;427;494;664;748;890;1074;1126;1207;1300;1432;1503;1547;1639;1727;1780;1840;1913;2021
10-31,962,903139,8:00:00,8,27,84;263;368;475;655;839;1083;1262;1380;1603;1777;1916;1997;2213;2459;2574;2702;2845;3007;3384
10-26,679,906447,11:00:00,18,35,113;201;342;465;623;705;918;1055;1205;1273;1367;1463;1567;1670;1762;1993;2102;2163
10-31,700,906587,8:00:00,31,37,62;180;336;435;568;660;734
10-25,7052,903554,19:00:00,47,52,24;113;189;272;417;549
10-30,658,900520,12:00:00,32,47,94;308;354;662;854;971;1190;1376;1438;1487;1573;1651;1734;1818;1863;1982
10-26,868,900851,19:00:00,26,35,92;181;277;361;529;641;810;927;1063;1098
10-26,912,904372,21:00:00,17,35,0;174;347;506;683;740;887;1060;1110;1282;1389;1592;1762;1866;1920;2314;2382;2445;2526
10-27,96,907059,11:00:00,29,35,118;166;229;385;541;676;927
10-31,800,922528,18:00:00,39,50,67;140;218;355;445;554;643;754;813;869;950;1042
10-25,34,906399,11:00:00,8,25,131;273;390;475;648;708;841;1003;1167;1226;1330;1410;1463;1550;1687;1775;1838;1965
10-30,916,905490,12:00:00,14,23,86;235;357;510;566;643;805;998;1073;1212
10-30,607,906348,16:00:00,32,42,64;259;439;634;781;885;945;1036;1116;1231;1316
10-25,856,906884,9:00:00,29,40,6;105;208;309;428;524;759;861;935;1003;1169;1290
10-26,911,903273,13:00:00,18,32,83;243;444;693;794;917;1055;1250;1402;1493;1642;1793;1852;1975;2061
10-30,697,906708,18:00:00,20,31,74;215;376;519;642;759;877;991;1148;1255;1335;1538
10-31,857,904020,22:00:00,13,37,19;72;122;192;312;395;541;606;731;835;908;1088;1146;1304;1440;1655;1763;1853;1946;2061;2153;2239;2330;2422;2494
10-26,1,902737,17:00:00,6,30,0;143;213;363;456;595;733;820;906;1155;1315;1405;1492;1653;1822;1906;1979;2081;2240;2309;2381;2490;2574;2645;2712
10-28,570,904737,8:00:00,2,11,144;351;511;770;986;1338;2144;2648;3060;3315
10-25,842,900983,19:00:00,13,25,109;266;463;633;864;956;1182;1276;1365;1536;1690;1776;1850
10-30,185,905675,14:00:00,24,30,72;378;771;1016;1375;1539;1945
10-29,600,912373,8:00:00,4,25,24;193;282;406;489;680;944;1213;1414;1582;1768;1896;2011;2262;2377;2451;2531;2697;2798;2861;3137;3631
10-30,903,906212,8:00:00,24,31,75;190;363;553;626;713;818;1076
10-28,851,903496,16:00:00,16,27,37;337;438;506;627;717;869;1005;1089;1152;1258;1403
10-27,663,900173,19:00:00,28,33,40;162;286;326;391;566
10-29,223,905028,8:00:00,5,14,59;136;185;226;298;369;551;619;762;911
10-27,203,905783,11:00:00,3,23,29;91;197;292;385;460;568;624;728;815;874;1043;1130;1206;1310;1418;1490;1612;1789;1845;1979
10-25,641,902645,9:00:00,12,37,62;364;481;596;926;1089;1218;1412;1525;1636;1769;1854;2010;2101;2231;2360;2483;2711;2873;2940;3044;3200;3370;3436;3497;3618
10-26,605,901279,17:00:00,18,24,73;216;290;432;497;2343;2494
10-28,705,905793,16:00:00,2,35,0;62;117;219;333;415;507;580;648;715;837;894;978;1050;1121;1194;1250;1324;1445;1551;1611;1744;1853;1907;1966;2022;2099;2176;2218;2285;2326;2379;2444;2526
10-25,640,903185,17:00:00,31,40,81;167;322;499;606;746;885;1004;1080;1178
10-30,706,906567,10:00:00,17,46,57;135;177;342;429;507;568;679;765;825;902;963;1017;1074;1267;1460;1619;1741;1799;1871;1967;2006;2048;2111;2212;2300;2379;2476;2546;2605
10-25,859,900475,21:00:00,35,59,60;140;231;327;527;594;680;703;750;855;950;1110;1171;1257;1308;1364;1421;1478;1548;1615;1758;1823;1869;1932;1970
10-25,800,922546,21:00:00,43,50,56;144;211;294;329;367;438;519
10-27,610,906378,9:00:00,15,33,108;315;463;563;704;874;993;1167;1342;1610;1718;1786;1953;2040;2117;2305;2385;2481;2615
10-30,47,904340,10:00:00,40,51,120;249;390;640;781;913;1239;1444;1617;1720;1861;1959
10-29,810,904768,10:00:00,5,21,65;159;384;541;673;870;946;1003;1163;1234;1314;1547;1611;1774;1870;1968;2178
10-26,678,904323,7:00:00,14,31,94;234;473;632;750;900;1072;1259;1435;1653;1828;2081;2186;2412;2535;2641;2836;3145
10-30,867,900373,20:00:00,25,32,46;193;301;517;568;619;676;799
10-27,857,904020,9:00:00,32,37,71;167;259;358;457;538
10-25,185,905681,17:00:00,22,30,190;316;654;990;1410;1685;2077;2277;2710
10-25,606,900494,9:00:00,34,39,13;149;312;499;650;727
10-28,1,902737,18:00:00,5,29,54;129;205;261;364;493;558;650;759;867;1017;1084;1236;1497;1588;1669;1810;1897;1984;2181;2278;2376;2538;2682;2878
10-30,952,900012,16:00:00,12,33,76;203;468;631;831;1123;1221;1304;1406;1594;1703;1950;2076;2224;2389;2555;2743;2861;2964;3367;3493;3704
10-25,753,901060,15:00:00,16,29,29;119;205;304;379;446;496;577;672;745;826;876;930;990
10-31,681,907262,20:00:00,9,34,18;59;182;381;526;582;615;667;828;930;1011;1178;1414;1478;1558;1728;1980;2066;2217;2445;2654;2790;2906;3001;3120;3278
10-26,676,904697,15:00:00,2,27,45;84;243;327;399;470;519;644;724;789;849;902;1034;1347;1480;1602;1766;1979;2162;2315;2440;2501;2604;2710;2902;3016
10-27,619,904720,9:00:00,19,41,36;125;213;366;465;554;748;846;977;1132;1278;1600;1845;1909;2001;2172;2321;2400;2537;2691;2752;2847;2987
10-29,95,921434,16:00:00,5,22,22;151;460;535;688;837;949;1018;1273;1362;1561;1693;1886;1977;2083;2155;2218;2289
10-30,856,906879,16:00:00,19,40,0;238;490;726;867;1179;1330;1487;1606;1706;1837;1943;2052;2161;2285;2387;2619;2715;2785;2851;3021;3160
10-30,847,906744,10:00:00,31,47,36;149;270;372;504;662;754;822;921;1043;1135;1240;1345;1570;1624;1709;1796
10-28,857,904021,14:00:00,17,37,70;184;359;453;600;726;821;1026;1108;1299;1464;1703;1832;1943;2058;2187;2294;2398;2509;2619;2709
10-29,638,932625,12:00:00,39,43,0;101;254;348;636
10-27,952,900012,9:00:00,16,34,187;479;579;662;765;937;1034;1241;1346;1482;1639;1798;1982;2107;2203;2587;2695;2889;2942
10-28,868,900845,10:00:00,7,17,81;307;461;547;635;770;997;1169;1256;1472;1675
10-28,1,902735,10:00:00,17,29,0;273;372;461;610;701;793;994;1094;1199;1361;1506;1703
10-27,688,905166,13:00:00,40,52,0;76;199;313;374;512;579;758;833;929;1009;1108;1436
10-28,801,905119,8:00:00,18,38,109;209;359;529;608;706;818;893;1176;1238;1273;1349;1422;1514;1581;1630;1745;1868;1926;2018;2105
10-29,97,921455,16:00:00,16,23,48;169;416;547;660;800;1050;1313
10-26,907,905528,9:00:00,19,33,55;157;375;555;660;840;969;1112;1203;1299;1463;1682;1856;2092;2162
10-31,32,902211,20:00:00,16,20,104;248;361;436;492
10-28,639,901812,10:00:00,15,36,116;300;479;601;873;1006;1171;1427;1542;1728;1820;1902;2000;2077;2240;2363;2479;2619;2775;2891;2966;3171
10-25,641,906253,13:00:00,35,43,47;96;203;427;552;659;854;923;1030
10-25,829,903416,9:00:00,2,26,8;98;337;454;528;734;901;1126;1196;1357;1496;1682;1729;1827;1945;2064;2252;2349;2483;2618;2743;2855;2936;3113;3324
10-30,904,905142,12:00:00,15,36,84;176;329;467;801;891;1000;1134;1199;1318;1539;1585;1781;2028;2114;2152;2194;2264;2329;2527;2612;2673
10-29,812,906161,10:00:00,14,28,64;221;346;538;613;663;823;890;968;1204;1258;1363;1431;1512;1610
10-26,847,906770,7:00:00,20,26,101;232;380;563;794;985;1123
10-31,3,932511,14:00:00,6,24,3;172;300;561;726;865;1060;1222;1332;1390;1529;1603;1673;1760;1893;1947;2030;2078;2161
10-26,157,932301,7:00:00,13,24,55;176;278;377;450;518;637;713;884;967;1097;1198
10-26,632,904203,15:00:00,20,41,48;423;574;728;948;1199;1274;1378;1455;1531;1624;1818;1975;2078;2198;2315;2422;2607;2686;2790;2851;2934
10-27,706,906558,9:00:00,5,41,29;87;174;262;354;453;533;616;792;888;994;1051;1173;1249;1288;1450;1533;1607;1664;1771;1854;1910;1984;2042;2093;2147;2339;2539;2697;2818;2876;2948;3043;3079;3119;3180;3278
10-28,606,900506,12:00:00,5,23,136;267;424;519;637;973;1118;1268;1450;1581;1695;1902;2186;2271;2427;2511;2681;2907;3028
10-27,622,904575,17:00:00,41,49,108;191;255;328;504;599;652;728;786
10-27,679,906457,21:00:00,9,34,58;153;224;304;422;574;653;803;874;1003;1087;1265;1441;1532;1573;1661;1746;1806;1852;1935;2083;2282;2345;2415;2484;2539
10-29,47,962336,18:00:00,8,32,73;263;347;523;657;814;1040;1232;1429;1560;1681;1995;2054;2206;2293;2358;2431;2708;2801;2907;3019;3219;3353;3604;3722
10-28,907,905513,20:00:00,13,33,89;298;368;466;577;788;865;966;1170;1338;1418;1581;1690;1824;1912;2003;2154;2368;2515;2731;2820
10-26,623,904591,15:00:00,21,31,22;239;304;356;420;636;719;817;895;963;1081
10-25,9,904265,7:00:00,7,24,84;234;362;515;646;754;950;1156;1314;1442;1591;1780;1938;2090;2336;2537;2649;2784
10-29,6001,900297,18:00:00,15,21,105;214;346;465;561;685;758
10-28,657,921144,8:00:00,30,46,54;189;301;470;566;712;800;943;1103;1260;1314;1383;1494;1653;1814;2082;2126
10-26,633,903466,9:00:00,5,28,13;68;188;327;421;583;801;924;1052;1195;1268;1421;1499;1628;1762;1893;2071;2238;2326;2413;2607;2744;2924;3053
10-28,619,904714,20:00:00,37,43,102;228;355;436;558;631;708
10-28,863,960169,8:00:00,24,39,73;262;350;480;583;632;749;817;927;1028;1121;1203;1436;1599;1727;1776
10-26,641,904353,19:00:00,8,31,14;149;203;290;392;565;647;699;866;1095;1232;1402;1473;1534;1604;1716;1927;2119;2252;2375;2553;2794;2956;3065
10-31,685,902514,18:00:00,9,30,58;179;370;617;821;973;1204;1349;1434;1577;1691;2024;2161;2321;2438;2589;2695;2837;3105;3271;3417;3575
10-30,1,902754,20:00:00,24,30,25;76;125;213;276;326;381
10-28,818,904460,14:00:00,32,38,50;98;270;540;692;872;958
10-27,911,902456,9:00:00,28,32,40;206;278;411;508
10-31,700,906586,12:00:00,2,27,96;221;335;436;549;696;831;973;1132;1281;1448;1610;1745;1836;2024;2195;2339;2480;2655;2747;2887;3030;3156;3259;3405;3533
10-28,746,905367,10:00:00,9,13,44;203;418;714;839
10-27,665,906087,11:00:00,30,38,74;178;275;361;522;661;758;857;933
10-25,700,906439,15:00:00,2,27,27;126;220;309;411;548;672;802;946;1079;1235;1387;1513;1594;1771;1931;2067;2200;2368;2453;2586;2721;2841;2936;3074;3194
10-27,8,906920,11:00:00,4,18,54;218;422;523;795;945;1042;1349;1480;1726;1936;2045;2105;2186;2291
10-27,878,905856,13:00:00,15,43,33;156;250;307;430;669;756;819;1001;1163;1362;1564;1686;1767;1902;2101;2289;2403;2518;2579;2676;2802;2900;2946;3025;3081;3139;3286;3347
10-25,806,906529,13:00:00,7,31,32;151;305;453;693;767;811;886;978;1099;1255;1349;1438;1567;1652;1741;1842;1939;2028;2243;2330;2390;2438;2591;2716
10-25,870,901394,19:00:00,15,40,124;342;469;667;785;975;1090;1277;1407;1650;1753;1870;1947;2081;2289;2397;2489;2574;2742;2897;2992;3111;3244;3327;3513;3627
10-26,312,907191,15:00:00,14,19,4;82;149;211;586;748
10-26,830,907139,7:00:00,21,25,169;344;483;649;915
10-28,653,900202,12:00:00,23,31,22;121;353;421;508;729;856;934;1075
10-31,649,912376,10:00:00,14,19,73;175;406;480;659;714
10-28,878,905868,16:00:00,23,43,0;196;431;652;787;880;1029;1244;1451;1585;1721;1802;1919;2063;2179;2238;2331;2399;2473;2636;2711
10-25,609,900941,11:00:00,22,45,0;147;248;427;518;698;817;934;1031;1255;1497;1605;1785;1965;2052;2170;2390;2537;2709;2810;2900;2978;3119;3218
